acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0127275	E	002398	ROYALTY	0.002362
0127279	E	002398	ROYALTY	0.001068
0127280	E	002398	ROYALTY	0.002136
0127292	E	002398	ROYALTY	0.005127
0127293	E	002398	ROYALTY	0.001182
0127294	E	002398	ROYALTY	0.001182
0127302	E	002400	ROYALTY	0.004166
0127562	E	011149	ROYALTY	0.011000
0127563	E	011149	ROYALTY	0.011000
0127564	E	011149	ROYALTY	0.011000
0127565	E	011149	ROYALTY	0.011000
0127623	E	112715	ROYALTY	0.001270
0127625	E	112715	ROYALTY	0.006348
0127639	E	112715	ROYALTY	0.001250
0127642	E	112715	ROYALTY	0.002500
0127649	E	112715	ROYALTY	0.001270
0127654	E	112715	ROYALTY	0.002674
0127657	E	112715	ROYALTY	0.037500
0127658	E	112715	ROYALTY	0.037500
0127671	E	112715	ROYALTY	0.008929
0127677	E	112715	ROYALTY	0.008929
0127683	E	112715	ROYALTY	0.004464
0127684	E	112715	ROYALTY	0.004464
0127688	E	112715	ROYALTY	0.015625
0127689	E	112715	ROYALTY	0.015625
0127691	E	112715	ROYALTY	0.010417
0127692	E	112715	ROYALTY	0.005208
0127707	E	112715	ROYALTY	0.006511
0127713	E	112715	ROYALTY	0.002604
0127721	E	112715	ROYALTY	0.010417
0127723	E	112715	ROYALTY	0.005208
0127733	E	112715	ROYALTY	0.031250
0127734	E	112715	ROYALTY	0.031250
0127741	E	112715	ROYALTY	0.031250
0127742	E	112715	ROYALTY	0.031250
0127748	E	112715	ROYALTY	0.031250
0127761	E	112715	ROYALTY	0.031250
0127762	E	112715	ROYALTY	0.031250
0127849	E	112715	ROYALTY	0.008333
0127863	E	112715	ROYALTY	0.008333
0127864	E	112715	ROYALTY	0.008333
0127874	E	112715	ROYALTY	0.125000
0127932	E	112715	ROYALTY	0.125000
0127944	E	112715	ROYALTY	0.125000
0127951	E	112715	ROYALTY	0.031250
0127954	E	112715	ROYALTY	0.031250
0127955	E	112715	ROYALTY	0.031250
0127983	E	112715	ROYALTY	0.125000
0128008	E	112715	ROYALTY	0.005313
0128043	E	112715	ROYALTY	0.017833
0128044	E	112715	ROYALTY	0.035666
0128048	E	112715	ROYALTY	0.041667
0128050	E	112715	ROYALTY	0.020833
0128051	E	112715	ROYALTY	0.041667
0128077	E	112715	ROYALTY	0.072917
0128078	E	112715	ROYALTY	0.020833
0128169	E	112715	ROYALTY	0.031250
0128171	E	112715	ROYALTY	0.031250
0128172	E	112715	ROYALTY	0.031250
0128269	E	112715	ROYALTY	0.031250
0128271	E	112715	ROYALTY	0.031250
0128272	E	112715	ROYALTY	0.031250
0128277	E	112715	ROYALTY	0.072917
0128294	E	112715	ROYALTY	0.020833
0128295	E	112715	ROYALTY	0.020833
0128297	E	112715	ROYALTY	0.020833
0128314	E	112715	ROYALTY	0.062500
0128316	E	112715	ROYALTY	0.062500
0128402	E	112715	ROYALTY	0.062500
0128404	E	112715	ROYALTY	0.062500
0128668	E	007374	ROYALTY	0.010417
0128672	E	007374	ROYALTY	0.006944
0128673	E	007374	ROYALTY	0.006944
0128674	E	007374	ROYALTY	0.006944
0128675	E	007374	ROYALTY	0.006944
0128676	E	007374	ROYALTY	0.006944
0128677	E	007374	ROYALTY	0.006944
0128762	E	039890	ROYALTY	0.010417
0128962	E	049025	ROYALTY	0.007204
0128966	E	049025	ROYALTY	0.000972
0128970	E	049025	ROYALTY	0.001871
0128971	E	049025	ROYALTY	0.000525
0128978	E	049025	ROYALTY	0.000977
0128983	E	049025	ROYALTY	0.000813
0128989	E	049025	ROYALTY	0.000485
0128993	E	049025	OVERRIDE	0.002951
0128999	E	049025	ROYALTY	0.005829
0129007	E	049025	OVERRIDE	0.017802
0129012	E	049025	ROYALTY	0.001079
0129015	E	049025	ROYALTY	0.000468
0129017	E	049025	ROYALTY	0.001726
0129019	E	049025	ROYALTY	0.001262
0129021	E	049025	ROYALTY	0.000633
0129031	E	049025	ROYALTY	0.003589
0129033	E	049025	ROYALTY	0.002339
0129046	E	049025	ROYALTY	0.000501
0129048	E	049025	ROYALTY	0.000499
0129050	E	049025	ROYALTY	0.011265
0129053	E	049025	ROYALTY	0.002700
0129133	E	039549	ROYALTY	0.007397
0129154	E	039549	ROYALTY	0.008450
0129249	E	033420	ROYALTY	0.014456
0129251	E	033420	ROYALTY	0.003748
0129268	E	035629	ROYALTY	0.016366
0129269	E	035629	ROYALTY	0.000505
0129270	E	035629	ROYALTY	0.000506
0129278	E	035629	ROYALTY	0.015358
0129280	E	035629	ROYALTY	0.000956
0129287	E	035629	ROYALTY	0.001134
0129288	E	035629	ROYALTY	0.001136
0129300	E	035629	ROYALTY	0.000206
0129304	E	035629	ROYALTY	0.002078
0129306	E	035629	ROYALTY	0.001324
0129308	E	035629	ROYALTY	0.013842
0129320	E	035629	ROYALTY	0.002082
0129327	E	035629	ROYALTY	0.003839
0129328	E	035629	ROYALTY	0.003840
0129330	E	035629	ROYALTY	0.002469
0129331	E	035629	ROYALTY	0.001370
0129634	E	016609	ROYALTY	0.005345
0129639	E	016609	OVERRIDE	0.062500
0129640	E	016609	ROYALTY	0.053453
0129644	E	016609	ROYALTY	0.011719
0129645	E	016609	ROYALTY	0.001645
0129843	E	007562	ROYALTY	0.010614
0129852	E	007562	WORKING	0.690959
0129889	E	007562	ROYALTY	0.002653
0130349	E	013450	ROYALTY	0.003704
0130354	E	013450	ROYALTY	0.004684
0130362	E	013450	ROYALTY	0.010582
0130370	E	013450	ROYALTY	0.003704
0130386	E	013450	ROYALTY	0.003704
0130391	E	013450	ROYALTY	0.011796
0130392	E	013450	ROYALTY	0.004684
0130395	E	013450	ROYALTY	0.011287
0130404	E	013450	ROYALTY	0.021870
0131583	E	012475	ROYALTY	0.001606
0131584	E	012475	ROYALTY	0.001606
0131586	E	012475	ROYALTY	0.001606
0131588	E	012475	ROYALTY	0.001606
0131589	E	012475	ROYALTY	0.001606
0131590	E	012475	ROYALTY	0.026679
0131592	E	012475	ROYALTY	0.008119
0131596	E	012475	ROYALTY	0.002519
0131603	E	012475	OVERRIDE	0.005359
0131604	E	012475	OVERRIDE	0.012720
0131606	E	012475	ROYALTY	0.001714
0131610	E	012475	ROYALTY	0.002000
0131745	E	011209	WORKING	0.787500
0131748	E	012397	OVERRIDE	0.032958
0131749	E	012397	OVERRIDE	0.012500
0131752	E	012397	WORKING	0.763249
0131754	E	013097	OVERRIDE	0.037500
0131756	E	013097	WORKING	0.837500
0131771	E	012342	WORKING	0.750000
0134514	E	008549	ROYALTY	0.009766
0134566	E	008549	ROYALTY	0.009766
0135681	E	008371	ROYALTY	0.014936
0135692	E	008371	ROYALTY	0.007470
0135698	E	008371	ROYALTY	0.000605
0135705	E	008371	ROYALTY	0.001494
0135706	E	008371	ROYALTY	0.001494
0135709	E	008371	ROYALTY	0.002986
0135718	E	008371	ROYALTY	0.005808
0135721	E	008371	ROYALTY	0.005230
0135769	E	008373	ROYALTY	0.011458
0135770	E	008373	ROYALTY	0.011459
0135772	E	008373	ROYALTY	0.011459
0135788	E	008373	ROYALTY	0.020753
0135791	E	008373	ROYALTY	0.011459
0135824	E	008374	ROYALTY	0.004596
0135836	E	008374	ROYALTY	0.002298
0135843	E	008374	ROYALTY	0.011457
0135844	E	008374	ROYALTY	0.011458
0135846	E	008374	ROYALTY	0.011458
0135862	E	008374	ROYALTY	0.020753
0135864	E	008374	ROYALTY	0.001788
0135865	E	008374	ROYALTY	0.011458
0135877	E	008374	ROYALTY	0.005208
0136326	E	008380	ROYALTY	0.009192
0136329	E	008380	ROYALTY	0.011724
0136339	E	008380	ROYALTY	0.004595
0136348	E	008380	ROYALTY	0.000919
0136349	E	008380	ROYALTY	0.000919
0136352	E	008380	ROYALTY	0.001838
0136354	E	008380	ROYALTY	0.023438
0136360	E	008380	ROYALTY	0.003573
0136363	E	008380	ROYALTY	0.003217
0136369	E	008380	ROYALTY	0.011713
0136383	E	008381	ROYALTY	0.020754
0136384	E	008381	ROYALTY	0.000488
0136526	E	008383	ROYALTY	0.001259
0136539	E	008383	ROYALTY	0.003832
0136541	E	008383	ROYALTY	0.003470
0136553	E	008383	ROYALTY	0.001736
0136558	E	008383	ROYALTY	0.001259
0136559	E	008383	ROYALTY	0.001259
0136572	E	008383	ROYALTY	0.000693
0136573	E	008383	ROYALTY	0.001916
0136574	E	008383	ROYALTY	0.001916
0136578	E	008383	ROYALTY	0.003832
0136585	E	008383	ROYALTY	0.001260
0136586	E	008383	ROYALTY	0.011010
0136588	E	008383	ROYALTY	0.001350
0136589	E	008383	ROYALTY	0.009580
0136593	E	008383	ROYALTY	0.001215
0136595	E	008383	ROYALTY	0.000630
0136598	E	008383	ROYALTY	0.000630
