RP_TYPE	tax_dist	name	prop	curr	ABT	DIS	ERE	ESP	GCC	HIS	MCL	OVR	PAR	PDS	PMD	POL	POV	PRO	RES	SOL	SPV	SUR	TOT	UND	V11	V12	V13	V14	V21	V22	V23	V24	VS1	VS2	VS3	VS4
Personal	026	TOMBALL ISD	1.360000	1.360000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	027	CLEAR CREEK ISD	1.360000	1.360000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	028	DAYTON ISD	1.208000	1.208000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	029	PEARLAND ISD	1.419400	1.419400	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	030	HUFFMAN ISD	1.470000	1.470000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	031	STAFFORD MSD	1.230000	1.110000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	032	FORT BEND ISD	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	034	CHAMBERS COUNTY	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	035	FORT BEND COUNTY	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	036	GALVESTON COUNTY	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
