Code	Description
479	HC MUD 179
480	HC MUD 180
482	HC MUD 182
483	HC MUD 183
484	HC MUD 382
485	HC MUD 185
486	HC MUD 186
488	HC MUD 188
489	HC MUD 189
490	HC MUD 390
491	HC MUD 191
493	HC MUD 389
496	HC MUD 196
498	HC MUD 418
500	HC MUD 200
501	HC MUD 374
502	HC MUD 202
504	HC MUD 371
505	HC MUD 205
506	HC MUD 419
507	HC MUD 468
508	HC MUD 208
509	HC MUD 372
510	HC MUD 373
511	HC MUD 211
514	HC MUD 220
515	HC MUD 215
516	HC MUD 216
517	HC MUD 217
519	HC MUD 341
520	HC MUD 370
521	HC MUD 221
522	HC MUD 222
524	HC MUD 354
525	HC MUD 355
526	HC MUD 367
527	HC MUD 359
528	HC MUD 358
529	HC MUD 360
530	HC MUD 230
532	HC MUD 361
533	HC MUD 233
534	HC MUD 364
535	HC MUD 365
538	HC MUD 238
539	HC MUD 239
541	HC MUD 257
542	HC MUD 261
544	HC MUD 280
545	HC MUD 281
548	HC MUD 248
549	HC MUD 249
550	HC EMERG SRV DIST 7
555	HC MUD 366
556	HC UD 6
564	HC UD 14
565	HC UD 15
566	HC UD 16
600	HC WCID FONDREN ROAD
601	HC WCID 1
602	HC WCID 21
603	HC WCID 36
604	HC WCID 50
605	HC WCID 70
606	HC WCID 74
607	HC WCID 75
609	HC WCID 84
610	HC WCID 89
611	HC WCID 91
612	HC WCID 92
613	HC WCID 96
614	HC WCID 155
616	HC WCID 156
617	HC WCID 157
622	HC WCID 109
623	HC WCID 110
624	HC WCID 113
625	HC WCID 114
626	HC WCID 116
627	HC WCID 119
628	HC WCID 132
629	HC WCID 133
630	HC WCID 136
631	HC EMERG SRV DIST 46
632	HC WCID 145
633	HC EMERG SRV DIST 9
634	HC EMERG SRV DIST 13
635	HC EMERG SRV DIST 16
636	HC EMERG SRV DIST 20
637	HC EMERG SRV DIST 28
638	HC EMERG SRV DIST 47
639	HC EMERG SRV DIST 24
640	HC EMERG SRV DIST 14
641	HC EMERG SRV DIST 10
642	HC EMERG SRV DIST 25
643	HC EMERG SRV DIST 48
645	HC EMERG SRV DIST 29
647	HC EMERG SRV DIST 17
648	HC EMERG SRV DIST 21
649	HC EMERG SRV DIST 19
650	HARRIS-FT BEND MUD 1
651	HEATHERLOCH MUD
652	HORSEPEN BAYOU MUD
654	HUNTERS GLEN MUD
656	INTERSTATE MUD
657	INVERNESS FOREST ID
658	JACKRABBIT ROAD PUD
660	HARRIS-FT BEND CO MUD 3
662	FORT BEND CO MUD 30
664	HC EMERG SRV DIST 75
665	HC ESD 15
666	HC EMERG SERV DIST 11
667	HC EMERG SERV DIST 50
668	HC EMERG SRV DIST 12
669	HC EMERG SRV DIST 80
670	HC EMERG SRV DIST 60
671	HC EMERG SRV DIST 1
672	HC EMERG SRV DIST 2
673	HC EMERG SRV DIST 3
674	HC EMERG SRV DIST 4
675	HC EMERG SRV DIST 5
676	HC EMERG SERV DIST 6
677	HARRIS-FT BND ESD 100
678	WALLER-HARRIS ESD 200
679	HC EMERG SERV DIST 8
681	KINGSBRIDGE MUD
682	KIRKMONT MUD
683	KLEIN PUD
684	KLEINWOOD MUD
691	LAKE MUD
692	LAKE FOREST UD
693	LANGHAM CREEK UD
694	LONGHORN TOWN UD
695	LOUETTA NORTH PUD
696	LOUETTA ROAD UD
697	LUCE BAYOU PUD
701	MALCOMSON ROAD UD
702	MASON CREEK UD
703	BRAZORIA CO MUD 28
704	MAYDE CREEK MUD
705	MEMORIAL HILLS UD
706	MEMORIAL MUD
707	MEMORIAL VILLAGES WA
709	MILLS ROAD MUD
710	MISSION BEND MUD 1
711	MISSION BEND MUD 2
712	MORTON ROAD MUD
714	MT HOUSTON ROAD MUD
718	NEWPORT MUD
721	NORTHAMPTON MUD
722	NORTH BELT UD
724	NE HC MUD 1
725	NORTH FOREST MUD
726	NORTH GREEN MUD
727	NORTH MISSION GLEN MUD
728	NORTH PARK PUD
730	NORTHWEST FRWY MUD
731	N GATE CROSSING MUD 1
732	N GATE CROSSING MUD 2
734	N GATE CROSSING RD UD
745	NW HC MUD 5
746	NW HC MUD 6
749	NW HC MUD 9
750	NW HC MUD 10
752	NW HC MUD 12
755	NW HC MUD 15
756	NW HC MUD 16
759	NW HC MUD 19
760	NW HC MUD 20
761	NW HC MUD 21
762	NW HC MUD 22
763	NW HC MUD 23
764	NW HC MUD 24
768	NW HC MUD 28
769	NW HC MUD 29
770	NW HC MUD 30
771	NW HC MUD 32
776	NW HC MUD 36
777	NORTHWEST PARK MUD
778	NOTTINGHAM CNTRY MUD
779	NORTHWOOD MUD 1
781	OAKMONT PUD
783	PARKWAY UD
784	PINE BOUGH PUD
786	RANKIN ROAD WEST MUD
787	PINE VILLAGE PUD
788	PONDEROSA FOREST UD
789	POST WOOD MUD
